;ACTIVE_AT;ACTIVE_AX;ACTIVE_CheckCosmos;Start_ACTIVE_CheckCosmos;CosmosStatus_ACTIVE_CheckCosmos;GwsAreOK_ACTIVE_CheckCosmos;trainbus_fnLRS_ACTIVE_CheckCosmos;Address_ACTIVE_CheckCosmos;ReadHeartBeats_ACTIVE_CheckCosmos;CCVarQualityReset_ACTIVE_CheckCosmos;RefreshAdmVars_ACTIVE_CheckCosmos;AdmsAreOK_ACTIVE_CheckCosmos;CcusAreOK_ACTIVE_CheckCosmos;fnLRS_ACTIVE_CheckCosmos;TrazasDepuracion_ACTIVE_CheckCosmos;PrintTrazas_ACTIVE_CheckCosmos;ACTIVE_CM;ACTIVE_CV;ACTIVE_EC;ACTIVE_EQ;ACTIVE_EV1;ACTIVE_EV2;ACTIVE_EV3;ACTIVE_EV4;ACTIVE_GE;ACTIVE_GW;ACTIVE_HMI;ACTIVE_IL;ACTIVE_LZ;ACTIVE_MT;ACTIVE_PU;ACTIVE_RG;ACTIVE_SC;ACTIVE_SC_LOC;ACTIVE_SC_PUL;ACTIVE_SC_UCU;ACTIVE_SIV;UserInit;CV_400_ON_SetInit;CV_400_ON_GetOnC1;CV_400_ON_GetOnC2;CV_400_ON_GetOnM3;CV_AUX_SetInit;CV_AUX_SetInput;CV_AUX_GetAuxR;CV_AUX_GetAuxM3;CV_AUX_GetOutR;CV_AUX_GetOutM3;CV_AUX_AuxSimple;CV_INV_AUX_GetValue;PLC_READ_FILE_GetValue1;PLC_READ_FILE_GetValue2;PLC_READ_FILE_GetValue3;PLC_READ_FILE_GetValue4;PLC_READ_FILE_GetValue5;PLC_READ_FILE_GetValue6;PLC_READ_FILE_GetValue7;PLC_READ_FILE_GetValue8;PLC_READ_FILE_GetValueCV;ReadFile;SC_CHARGE_SetInit;SC_CHARGE_SetValuePanto;SC_CHARGE_GetValue;SC_LOC_EST_SetInit;SC_LOC_EST_SetBaliza;SC_LOC_EST_GetEnEstacion;SC_LOC_EST_GetCodigo_Est;SC_LOC_EST_GetCurrent;SC_LOC_EST_GetTramo;SC_LOC_EST_BalizaEstacion;SC_LOC_PROT_SetInit;SC_LOC_PROT_SetBaliza;SC_LOC_PROT_SetCond;SC_LOC_PROT_GetDES_AT;SC_LOC_PROT_GetAL_SIN;SC_LOC_PROT_GetAL_CON;SC_LOC_PROT_BalizaSIN;SC_LOC_PROT_BalizaCON;SC_LOC_SAL_SetInit;SC_LOC_SAL_SetTransicion;SC_LOC_SAL_GetZonaCON;SC_LOC_SAL_GetZonaSIN;SC_LOC_SAL_GetPtoCarga;SC_LOC_SAL_SetFault;SC_LOC_SAL_GetMinorFault;SC_LOC_SAL_GetMajorFault;SC_PUL_PULSA_SetInit;SC_PUL_PULSA_SetFlanco;SC_PUL_PULSA_SetPulsCont;SC_PUL_PULSA_Set2Puls;SC_PUL_PULSA_GetPulsa;SC_UCU_VAR_Select;SC_UCU_VAR_Acop;SC_UCU_VAR_GetOutput
ACTIVE_GE;0.0068415051311288486;0.03078677309007982;0.0015203344735841885;0.0019004180919802356;0.0019004180919802356;0.003040668947168377;0.0068415051311288486;0.0015203344735841885;0.0011402508551881414;0.0011402508551881414;0.0019004180919802356;0.0019004180919802356;0.003800836183960471;0.0026605853287723297;0.0034207525655644243;0.0015203344735841885;0.006081337894336754;0.009122006841505131;0.015203344735841885;0.0011402508551881414;0.009502090459901177;0.0026605853287723297;0.0011402508551881414;0.0011402508551881414;0;0.0011402508551881414;0.1645762067654884;0.014063093880653743;0.00798175598631699;0.01862409730140631;0.011402508551881414;0.0015203344735841885;0.025845686050931203;0.0049410870391486126;0.014823261117445839;0.0019004180919802356;0.011402508551881414;0.009502090459901177;0.0011402508551881414;0.0011402508551881414;0.0011402508551881414;0.0011402508551881414;0.0011402508551881414;0.0019004180919802356;0.0011402508551881414;0.0011402508551881414;0.0011402508551881414;0.0011402508551881414;0.0015203344735841885;0.002280501710376283;0.0011402508551881414;0.0011402508551881414;0.0011402508551881414;0.0011402508551881414;0.0011402508551881414;0.0011402508551881414;0.0011402508551881414;0.0011402508551881414;0.0011402508551881414;0.003800836183960471;0.0011402508551881414;0.0011402508551881414;0.0015203344735841885;0.0011402508551881414;0.0034207525655644243;0.0015203344735841885;0.0011402508551881414;0.0011402508551881414;0.003040668947168377;0.0019004180919802356;0.0011402508551881414;0.0011402508551881414;0.0011402508551881414;0.0019004180919802356;0.0011402508551881414;0.0011402508551881414;0.0015203344735841885;0.0015203344735841885;0.0011402508551881414;0.0015203344735841885;0.0011402508551881414;0.0011402508551881414;0.0011402508551881414;0.0026605853287723297;0.0011402508551881414;0.0011402508551881414;0.0011402508551881414;0.0011402508551881414;0.0011402508551881414;0.0015203344735841885;0.0011402508551881414;0.0015203344735841885;0.0011402508551881414;0.0011402508551881414
ACTIVE_GW;0.005701254275940707;0.029646522234891677;0.0003800836183960471;0.0007601672367920942;0.0007601672367920942;0.0019004180919802356;0.005701254275940707;0.0003800836183960471;0;0;0.0007601672367920942;0.0007601672367920942;0.0026605853287723297;0.0015203344735841885;0.002280501710376283;0.0003800836183960471;0.0049410870391486126;0.00798175598631699;0.014063093880653743;0;0.008361839604713038;0.0015203344735841885;0;0;0.0011402508551881414;0;0.16343595591030027;0.012922843025465602;0.0068415051311288486;0.017483846446218167;0.010262257696693273;0.0003800836183960471;0.024705435195743062;0.003800836183960471;0.013683010262257697;0.0007601672367920942;0.010262257696693273;0.008361839604713038;0;0;0;0;0;0.0007601672367920942;0;0;0;0;0.0003800836183960471;0.0011402508551881414;0;0;0;0;0;0;0;0;0;0.0026605853287723297;0;0;0.0003800836183960471;0;0.002280501710376283;0.0003800836183960471;0;0;0.0019004180919802356;0.0007601672367920942;0;0;0;0.0007601672367920942;0;0;0.0003800836183960471;0.0003800836183960471;0;0.0003800836183960471;0;0;0;0.0015203344735841885;0;0;0;0;0;0.0003800836183960471;0;0.0003800836183960471;0;0
ACTIVE_HMI;0.16837704294944889;0.1904218928164196;0.1638160395286963;0.16419612314709237;0.16419612314709237;0.1653363740022805;0.16913721018624098;0.1638160395286963;0.16343595591030027;0.16343595591030027;0.16419612314709237;0.16419612314709237;0.1660965412390726;0.16495629038388446;0.16571645762067655;0.1638160395286963;0.16837704294944889;0.169517293804637;0.17559863169897377;0.16343595591030027;0.1717977955150133;0.16495629038388446;0.16343595591030027;0.16343595591030027;0.1645762067654884;0.16343595591030027;0;0.17559863169897377;0.16989737742303307;0.17939946788293423;0.17369821360699353;0.1638160395286963;0.18738122386925124;0.16723679209426073;0.17711896617255796;0.16419612314709237;0.17369821360699353;0.1717977955150133;0.16343595591030027;0.16343595591030027;0.16343595591030027;0.16343595591030027;0.16343595591030027;0.16419612314709237;0.16343595591030027;0.16343595591030027;0.16343595591030027;0.16343595591030027;0.1638160395286963;0.1645762067654884;0.16343595591030027;0.16343595591030027;0.16343595591030027;0.16343595591030027;0.16343595591030027;0.16343595591030027;0.16343595591030027;0.16343595591030027;0.16343595591030027;0.1660965412390726;0.16343595591030027;0.16343595591030027;0.1638160395286963;0.16343595591030027;0.16571645762067655;0.1638160395286963;0.16343595591030027;0.16343595591030027;0.1653363740022805;0.16419612314709237;0.16343595591030027;0.16343595591030027;0.16343595591030027;0.16419612314709237;0.16343595591030027;0.16343595591030027;0.1638160395286963;0.1638160395286963;0.16343595591030027;0.1638160395286963;0.16343595591030027;0.16343595591030027;0.16343595591030027;0.16495629038388446;0.16343595591030027;0.16343595591030027;0.16343595591030027;0.16343595591030027;0.16343595591030027;0.1638160395286963;0.16343595591030027;0.1638160395286963;0.16343595591030027;0.16343595591030027
ACTIVE_IL;0.01710376282782212;0.04180919802356518;0.01330292664386165;0.013683010262257697;0.013683010262257697;0.014823261117445839;0.01862409730140631;0.01330292664386165;0.012922843025465602;0.012922843025465602;0.013683010262257697;0.013683010262257697;0.015583428354237932;0.01444317749904979;0.015203344735841885;0.01330292664386165;0.017863930064614217;0.01976434815659445;0.0266058532877233;0.012922843025465602;0.021284682630178638;0.01444317749904979;0.012922843025465602;0.012922843025465602;0.014063093880653743;0.012922843025465602;0.17559863169897377;0;0.019384264538198404;0.029646522234891677;0.023185100722158875;0.01330292664386165;0.03724819460281262;0.016723679209426075;0.0266058532877233;0.013683010262257697;0.023185100722158875;0.021284682630178638;0.012922843025465602;0.012922843025465602;0.012922843025465602;0.012922843025465602;0.012922843025465602;0.013683010262257697;0.012922843025465602;0.012922843025465602;0.012922843025465602;0.012922843025465602;0.01330292664386165;0.014063093880653743;0.012922843025465602;0.012922843025465602;0.012922843025465602;0.012922843025465602;0.012922843025465602;0.012922843025465602;0.012922843025465602;0.012922843025465602;0.012922843025465602;0.015583428354237932;0.012922843025465602;0.012922843025465602;0.01330292664386165;0.012922843025465602;0.015203344735841885;0.01330292664386165;0.012922843025465602;0.012922843025465602;0.014823261117445839;0.013683010262257697;0.012922843025465602;0.012922843025465602;0.012922843025465602;0.013683010262257697;0.012922843025465602;0.012922843025465602;0.01330292664386165;0.01330292664386165;0.012922843025465602;0.01330292664386165;0.012922843025465602;0.012922843025465602;0.012922843025465602;0.01444317749904979;0.012922843025465602;0.012922843025465602;0.012922843025465602;0.012922843025465602;0.012922843025465602;0.01330292664386165;0.012922843025465602;0.01330292664386165;0.012922843025465602;0.012922843025465602
ACTIVE_LZ;0.012162675788673508;0.03610794374762448;0.007221588749524895;0.007601672367920942;0.007601672367920942;0.008741923223109084;0.012542759407069556;0.007221588749524895;0.0068415051311288486;0.0068415051311288486;0.007601672367920942;0.007601672367920942;0.009502090459901177;0.008361839604713038;0.009122006841505131;0.007221588749524895;0.01178259217027746;0.014063093880653743;0.020144431774990496;0.0068415051311288486;0.015203344735841885;0.00798175598631699;0.0068415051311288486;0.0068415051311288486;0.00798175598631699;0.0068415051311288486;0.16989737742303307;0.019384264538198404;0;0.02356518434055492;0.016723679209426075;0.007221588749524895;0.03078677309007982;0.009882174078297225;0.020524515393386546;0.007601672367920942;0.01710376282782212;0.015203344735841885;0.0068415051311288486;0.0068415051311288486;0.0068415051311288486;0.0068415051311288486;0.0068415051311288486;0.007601672367920942;0.0068415051311288486;0.0068415051311288486;0.0068415051311288486;0.0068415051311288486;0.007221588749524895;0.00798175598631699;0.0068415051311288486;0.0068415051311288486;0.0068415051311288486;0.0068415051311288486;0.0068415051311288486;0.0068415051311288486;0.0068415051311288486;0.0068415051311288486;0.0068415051311288486;0.009502090459901177;0.0068415051311288486;0.0068415051311288486;0.007221588749524895;0.0068415051311288486;0.009122006841505131;0.007221588749524895;0.0068415051311288486;0.0068415051311288486;0.008741923223109084;0.007601672367920942;0.0068415051311288486;0.0068415051311288486;0.0068415051311288486;0.007601672367920942;0.0068415051311288486;0.0068415051311288486;0.007221588749524895;0.007221588749524895;0.0068415051311288486;0.007221588749524895;0.0068415051311288486;0.0068415051311288486;0.0068415051311288486;0.008361839604713038;0.0068415051311288486;0.0068415051311288486;0.0068415051311288486;0.0068415051311288486;0.0068415051311288486;0.007221588749524895;0.0068415051311288486;0.007221588749524895;0.0068415051311288486;0.0068415051311288486
ACTIVE_MT;0.021664766248574687;0.04522995058912961;0.017863930064614217;0.018244013683010263;0.018244013683010263;0.019384264538198404;0.023185100722158875;0.017863930064614217;0.017483846446218167;0.017483846446218167;0.018244013683010263;0.018244013683010263;0.020144431774990496;0.019004180919802355;0.01976434815659445;0.017863930064614217;0.02242493348536678;0.023185100722158875;0.030026605853287723;0.017483846446218167;0.025845686050931203;0.018244013683010263;0.017483846446218167;0.017483846446218167;0.01862409730140631;0.017483846446218167;0.17939946788293423;0.029646522234891677;0.02356518434055492;0;0.027366020524515394;0.017863930064614217;0.04142911440516914;0.021284682630178638;0.031166856708475865;0.018244013683010263;0.02774610414291144;0.025845686050931203;0.017483846446218167;0.017483846446218167;0.017483846446218167;0.017483846446218167;0.017483846446218167;0.018244013683010263;0.017483846446218167;0.017483846446218167;0.017483846446218167;0.017483846446218167;0.017863930064614217;0.01862409730140631;0.017483846446218167;0.017483846446218167;0.017483846446218167;0.017483846446218167;0.017483846446218167;0.017483846446218167;0.017483846446218167;0.017483846446218167;0.017483846446218167;0.020144431774990496;0.017483846446218167;0.017483846446218167;0.017863930064614217;0.017483846446218167;0.01976434815659445;0.017863930064614217;0.017483846446218167;0.017483846446218167;0.019384264538198404;0.018244013683010263;0.017483846446218167;0.017483846446218167;0.017483846446218167;0.018244013683010263;0.017483846446218167;0.017483846446218167;0.017863930064614217;0.017863930064614217;0.017483846446218167;0.017863930064614217;0.017483846446218167;0.017483846446218167;0.017483846446218167;0.019004180919802355;0.017483846446218167;0.017483846446218167;0.017483846446218167;0.017483846446218167;0.017483846446218167;0.017863930064614217;0.017483846446218167;0.017863930064614217;0.017483846446218167;0.017483846446218167
ACTIVE_PU;0.01596351197263398;0.03838844545800076;0.010642341315089319;0.011022424933485367;0.011022424933485367;0.012162675788673508;0.01596351197263398;0.010642341315089319;0.010262257696693273;0.010262257696693273;0.011022424933485367;0.011022424933485367;0.012922843025465602;0.01178259217027746;0.012542759407069556;0.010642341315089319;0.015203344735841885;0.017863930064614217;0.02394526795895097;0.010262257696693273;0.01862409730140631;0.01178259217027746;0.010262257696693273;0.010262257696693273;0.011402508551881414;0.010262257696693273;0.17369821360699353;0.023185100722158875;0.016723679209426075;0.027366020524515394;0;0.010642341315089319;0.03458760927404029;0.014063093880653743;0.02394526795895097;0.011022424933485367;0.020524515393386546;0.01862409730140631;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.011022424933485367;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.010642341315089319;0.011402508551881414;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.012922843025465602;0.010262257696693273;0.010262257696693273;0.010642341315089319;0.010262257696693273;0.012542759407069556;0.010642341315089319;0.010262257696693273;0.010262257696693273;0.012162675788673508;0.011022424933485367;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.011022424933485367;0.010262257696693273;0.010262257696693273;0.010642341315089319;0.010642341315089319;0.010262257696693273;0.010642341315089319;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.01178259217027746;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.010642341315089319;0.010262257696693273;0.010642341315089319;0.010262257696693273;0.010262257696693273
ACTIVE_RG;0.006081337894336754;0.030026605853287723;0.0007601672367920942;0.0011402508551881414;0.0011402508551881414;0.002280501710376283;0.006081337894336754;0.0007601672367920942;0.0003800836183960471;0.0003800836183960471;0.0011402508551881414;0.0011402508551881414;0.003040668947168377;0.0019004180919802356;0.0026605853287723297;0.0007601672367920942;0.005321170657544659;0.008361839604713038;0.01444317749904979;0.0003800836183960471;0.008741923223109084;0.0019004180919802356;0.0003800836183960471;0.0003800836183960471;0.0015203344735841885;0.0003800836183960471;0.1638160395286963;0.01330292664386165;0.007221588749524895;0.017863930064614217;0.010642341315089319;0;0.02508551881413911;0.004180919802356519;0.014063093880653743;0.0011402508551881414;0.010642341315089319;0.008741923223109084;0.0003800836183960471;0.0003800836183960471;0.0003800836183960471;0.0003800836183960471;0.0003800836183960471;0.0011402508551881414;0.0003800836183960471;0.0003800836183960471;0.0003800836183960471;0.0003800836183960471;0.0007601672367920942;0.0015203344735841885;0.0003800836183960471;0.0003800836183960471;0.0003800836183960471;0.0003800836183960471;0.0003800836183960471;0.0003800836183960471;0.0003800836183960471;0.0003800836183960471;0.0003800836183960471;0.003040668947168377;0.0003800836183960471;0.0003800836183960471;0.0007601672367920942;0.0003800836183960471;0.0026605853287723297;0.0007601672367920942;0.0003800836183960471;0.0003800836183960471;0.002280501710376283;0.0011402508551881414;0.0003800836183960471;0.0003800836183960471;0.0003800836183960471;0.0011402508551881414;0.0003800836183960471;0.0003800836183960471;0.0007601672367920942;0.0007601672367920942;0.0003800836183960471;0.0007601672367920942;0.0003800836183960471;0.0003800836183960471;0.0003800836183960471;0.0019004180919802356;0.0003800836183960471;0.0003800836183960471;0.0003800836183960471;0.0003800836183960471;0.0003800836183960471;0.0007601672367920942;0.0003800836183960471;0.0007601672367920942;0.0003800836183960471;0.0003800836183960471
ACTIVE_SC;0.03040668947168377;0.05397187381223869;0.02508551881413911;0.025465602432535157;0.025465602432535157;0.0266058532877233;0.03040668947168377;0.02508551881413911;0.024705435195743062;0.024705435195743062;0.025465602432535157;0.025465602432535157;0.027366020524515394;0.026225769669327253;0.026985936906119345;0.02508551881413911;0.029646522234891677;0.03078677309007982;0.037628278221208664;0.024705435195743062;0.0330672748004561;0.026225769669327253;0.024705435195743062;0.024705435195743062;0.025845686050931203;0.024705435195743062;0.18738122386925124;0.03724819460281262;0.03078677309007982;0.04142911440516914;0.03458760927404029;0.02508551881413911;0;0.028506271379703536;0.03838844545800076;0.025465602432535157;0.034967692892436335;0.0330672748004561;0.024705435195743062;0.024705435195743062;0.024705435195743062;0.024705435195743062;0.024705435195743062;0.025465602432535157;0.024705435195743062;0.024705435195743062;0.024705435195743062;0.024705435195743062;0.02508551881413911;0.025845686050931203;0.024705435195743062;0.024705435195743062;0.024705435195743062;0.024705435195743062;0.024705435195743062;0.024705435195743062;0.024705435195743062;0.024705435195743062;0.024705435195743062;0.027366020524515394;0.024705435195743062;0.024705435195743062;0.02508551881413911;0.024705435195743062;0.026985936906119345;0.02508551881413911;0.024705435195743062;0.024705435195743062;0.0266058532877233;0.025465602432535157;0.024705435195743062;0.024705435195743062;0.024705435195743062;0.025465602432535157;0.024705435195743062;0.024705435195743062;0.02508551881413911;0.02508551881413911;0.024705435195743062;0.02508551881413911;0.024705435195743062;0.024705435195743062;0.024705435195743062;0.026225769669327253;0.024705435195743062;0.024705435195743062;0.024705435195743062;0.024705435195743062;0.024705435195743062;0.02508551881413911;0.024705435195743062;0.02508551881413911;0.024705435195743062;0.024705435195743062
ACTIVE_SC_LOC;0.009502090459901177;0.03344735841885215;0.004180919802356519;0.004561003420752566;0.004561003420752566;0.005701254275940707;0.009502090459901177;0.004180919802356519;0.003800836183960471;0.003800836183960471;0.004561003420752566;0.004561003420752566;0.006461421512732801;0.005321170657544659;0.006081337894336754;0.004180919802356519;0.008741923223109084;0.01178259217027746;0.017863930064614217;0.003800836183960471;0.012162675788673508;0.005321170657544659;0.003800836183960471;0.003800836183960471;0.0049410870391486126;0.003800836183960471;0.16723679209426073;0.016723679209426075;0.009882174078297225;0.021284682630178638;0.014063093880653743;0.004180919802356519;0.028506271379703536;0;0.017483846446218167;0.004561003420752566;0.014063093880653743;0.012162675788673508;0.003800836183960471;0.003800836183960471;0.003800836183960471;0.003800836183960471;0.003800836183960471;0.004561003420752566;0.003800836183960471;0.003800836183960471;0.003800836183960471;0.003800836183960471;0.004180919802356519;0.0049410870391486126;0.003800836183960471;0.003800836183960471;0.003800836183960471;0.003800836183960471;0.003800836183960471;0.003800836183960471;0.003800836183960471;0.003800836183960471;0.003800836183960471;0.006461421512732801;0.003800836183960471;0.003800836183960471;0.004180919802356519;0.003800836183960471;0.006081337894336754;0.004180919802356519;0.003800836183960471;0.003800836183960471;0.005701254275940707;0.004561003420752566;0.003800836183960471;0.003800836183960471;0.003800836183960471;0.004561003420752566;0.003800836183960471;0.003800836183960471;0.004180919802356519;0.004180919802356519;0.003800836183960471;0.004180919802356519;0.003800836183960471;0.003800836183960471;0.003800836183960471;0.005321170657544659;0.003800836183960471;0.003800836183960471;0.003800836183960471;0.003800836183960471;0.003800836183960471;0.004180919802356519;0.003800836183960471;0.004180919802356519;0.003800836183960471;0.003800836183960471
ACTIVE_SC_PUL;0.019384264538198404;0.043329532497149374;0.014063093880653743;0.01444317749904979;0.01444317749904979;0.015583428354237932;0.019384264538198404;0.014063093880653743;0.013683010262257697;0.013683010262257697;0.01444317749904979;0.01444317749904979;0.016343595591030026;0.015203344735841885;0.01596351197263398;0.014063093880653743;0.01862409730140631;0.021664766248574687;0.02774610414291144;0.013683010262257697;0.022044849866970733;0.015203344735841885;0.013683010262257697;0.013683010262257697;0.014823261117445839;0.013683010262257697;0.17711896617255796;0.0266058532877233;0.020524515393386546;0.031166856708475865;0.02394526795895097;0.014063093880653743;0.03838844545800076;0.017483846446218167;0;0.01444317749904979;0.02394526795895097;0.022044849866970733;0.013683010262257697;0.013683010262257697;0.013683010262257697;0.013683010262257697;0.013683010262257697;0.01444317749904979;0.013683010262257697;0.013683010262257697;0.013683010262257697;0.013683010262257697;0.014063093880653743;0.014823261117445839;0.013683010262257697;0.013683010262257697;0.013683010262257697;0.013683010262257697;0.013683010262257697;0.013683010262257697;0.013683010262257697;0.013683010262257697;0.013683010262257697;0.016343595591030026;0.013683010262257697;0.013683010262257697;0.014063093880653743;0.013683010262257697;0.01596351197263398;0.014063093880653743;0.013683010262257697;0.013683010262257697;0.015583428354237932;0.01444317749904979;0.013683010262257697;0.013683010262257697;0.013683010262257697;0.01444317749904979;0.013683010262257697;0.013683010262257697;0.014063093880653743;0.014063093880653743;0.013683010262257697;0.014063093880653743;0.013683010262257697;0.013683010262257697;0.013683010262257697;0.015203344735841885;0.013683010262257697;0.013683010262257697;0.013683010262257697;0.013683010262257697;0.013683010262257697;0.014063093880653743;0.013683010262257697;0.014063093880653743;0.013683010262257697;0.013683010262257697
ACTIVE_SC_UCU;0.006461421512732801;0.03040668947168377;0.0011402508551881414;0.0015203344735841885;0.0015203344735841885;0.0026605853287723297;0.006461421512732801;0.0011402508551881414;0.0007601672367920942;0.0007601672367920942;0.0015203344735841885;0.0015203344735841885;0.0034207525655644243;0.002280501710376283;0.003040668947168377;0.0011402508551881414;0.005701254275940707;0.008741923223109084;0.014823261117445839;0.0007601672367920942;0.009122006841505131;0.002280501710376283;0.0007601672367920942;0.0007601672367920942;0.0019004180919802356;0.0007601672367920942;0.16419612314709237;0.013683010262257697;0.007601672367920942;0.018244013683010263;0.011022424933485367;0.0011402508551881414;0.025465602432535157;0.004561003420752566;0.01444317749904979;0;0.011022424933485367;0.009122006841505131;0.0007601672367920942;0.0007601672367920942;0.0007601672367920942;0.0007601672367920942;0.0007601672367920942;0.0015203344735841885;0.0007601672367920942;0.0007601672367920942;0.0007601672367920942;0.0007601672367920942;0.0011402508551881414;0.0019004180919802356;0.0007601672367920942;0.0007601672367920942;0.0007601672367920942;0.0007601672367920942;0.0007601672367920942;0.0007601672367920942;0.0007601672367920942;0.0007601672367920942;0.0007601672367920942;0.0034207525655644243;0.0007601672367920942;0.0007601672367920942;0.0011402508551881414;0.0007601672367920942;0.003040668947168377;0.0011402508551881414;0.0007601672367920942;0.0007601672367920942;0.0026605853287723297;0.0015203344735841885;0.0007601672367920942;0.0007601672367920942;0.0007601672367920942;0.0015203344735841885;0.0007601672367920942;0.0007601672367920942;0.0011402508551881414;0.0011402508551881414;0.0007601672367920942;0.0011402508551881414;0.0007601672367920942;0.0007601672367920942;0.0007601672367920942;0.002280501710376283;0.0007601672367920942;0.0007601672367920942;0.0007601672367920942;0.0007601672367920942;0.0007601672367920942;0.0011402508551881414;0.0007601672367920942;0.0011402508551881414;0.0007601672367920942;0.0007601672367920942
ACTIVE_SIV;0.01596351197263398;0.039908779931584946;0.010642341315089319;0.011022424933485367;0.011022424933485367;0.012162675788673508;0.01596351197263398;0.010642341315089319;0.010262257696693273;0.010262257696693273;0.011022424933485367;0.011022424933485367;0.012922843025465602;0.01178259217027746;0.012542759407069556;0.010642341315089319;0.015203344735841885;0.018244013683010263;0.024325351577347016;0.010262257696693273;0.01862409730140631;0.01178259217027746;0.010262257696693273;0.010262257696693273;0.011402508551881414;0.010262257696693273;0.17369821360699353;0.023185100722158875;0.01710376282782212;0.02774610414291144;0.020524515393386546;0.010642341315089319;0.034967692892436335;0.014063093880653743;0.02394526795895097;0.011022424933485367;0;0.01862409730140631;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.011022424933485367;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.010642341315089319;0.011402508551881414;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.012922843025465602;0.010262257696693273;0.010262257696693273;0.010642341315089319;0.010262257696693273;0.012542759407069556;0.010642341315089319;0.010262257696693273;0.010262257696693273;0.012162675788673508;0.011022424933485367;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.011022424933485367;0.010262257696693273;0.010262257696693273;0.010642341315089319;0.010642341315089319;0.010262257696693273;0.010642341315089319;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.01178259217027746;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.010642341315089319;0.010262257696693273;0.010642341315089319;0.010262257696693273;0.010262257696693273
UserInit;0.014063093880653743;0.03800836183960471;0.008741923223109084;0.009122006841505131;0.009122006841505131;0.010262257696693273;0.014063093880653743;0.008741923223109084;0.008361839604713038;0.008361839604713038;0.009122006841505131;0.009122006841505131;0.011022424933485367;0.009882174078297225;0.010642341315089319;0.008741923223109084;0.01330292664386165;0.016343595591030026;0.02242493348536678;0.008361839604713038;0.016723679209426075;0.009882174078297225;0.008361839604713038;0.008361839604713038;0.009502090459901177;0.008361839604713038;0.1717977955150133;0.021284682630178638;0.015203344735841885;0.025845686050931203;0.01862409730140631;0.008741923223109084;0.0330672748004561;0.012162675788673508;0.022044849866970733;0.009122006841505131;0.01862409730140631;0;0.008361839604713038;0.008361839604713038;0.008361839604713038;0.008361839604713038;0.008361839604713038;0.009122006841505131;0.008361839604713038;0.008361839604713038;0.008361839604713038;0.008361839604713038;0.008741923223109084;0.009502090459901177;0.008361839604713038;0.008361839604713038;0.008361839604713038;0.008361839604713038;0.008361839604713038;0.008361839604713038;0.008361839604713038;0.008361839604713038;0.008361839604713038;0.011022424933485367;0.008361839604713038;0.008361839604713038;0.008741923223109084;0.008361839604713038;0.010642341315089319;0.008741923223109084;0.008361839604713038;0.008361839604713038;0.010262257696693273;0.009122006841505131;0.008361839604713038;0.008361839604713038;0.008361839604713038;0.009122006841505131;0.008361839604713038;0.008361839604713038;0.008741923223109084;0.008741923223109084;0.008361839604713038;0.008741923223109084;0.008361839604713038;0.008361839604713038;0.008361839604713038;0.009882174078297225;0.008361839604713038;0.008361839604713038;0.008361839604713038;0.008361839604713038;0.008361839604713038;0.008741923223109084;0.008361839604713038;0.008741923223109084;0.008361839604713038;0.008361839604713038
CV_400_ON_SetInit;0.005701254275940707;0.029646522234891677;0.0003800836183960471;0.0007601672367920942;0.0007601672367920942;0.0019004180919802356;0.005701254275940707;0.0003800836183960471;0;0;0.0007601672367920942;0.0007601672367920942;0.0026605853287723297;0.0015203344735841885;0.002280501710376283;0.0003800836183960471;0.0049410870391486126;0.00798175598631699;0.014063093880653743;0;0.008361839604713038;0.0015203344735841885;0;0;0.0011402508551881414;0;0.16343595591030027;0.012922843025465602;0.0068415051311288486;0.017483846446218167;0.010262257696693273;0.0003800836183960471;0.024705435195743062;0.003800836183960471;0.013683010262257697;0.0007601672367920942;0.010262257696693273;0.008361839604713038;0;0;0;0;0;0.0007601672367920942;0;0;0;0;0.0003800836183960471;0.0011402508551881414;0;0;0;0;0;0;0;0;0;0.0026605853287723297;0;0;0.0003800836183960471;0;0.002280501710376283;0.0003800836183960471;0;0;0.0019004180919802356;0.0007601672367920942;0;0;0;0.0007601672367920942;0;0;0.0003800836183960471;0.0003800836183960471;0;0.0003800836183960471;0;0;0;0.0015203344735841885;0;0;0;0;0;0.0003800836183960471;0;0.0003800836183960471;0;0
